HR0,HR1,HR10,HR11,HR12,HR13,HR14,HR15,HR16,HR17,HR18,HR19,HR2,HR20,HR21,HR22,HR24,HR25,HR26,HR27,HR28,HR29,HR3,HR4,HR5,HR6,HR7,HR8,HR9,NormativeModel_fitness,label
4,0,4,0,4,0,0,4,0,9,0,0,9,0,9,0,0,0,0,0,9,0,0,0,4,4,0,0,9,0.6,Anomalous_37
19,4,4,0,4,9,4,4,0,4,0,4,14,4,0,4,9,0,4,0,4,4,4,0,4,4,0,0,4,0.3076923076923077,Anomalous_38
4,14,0,0,0,0,4,9,0,4,0,4,4,0,9,0,0,0,0,0,0,4,0,4,4,4,9,0,4,0.5365853658536586,Anomalous_39
4,4,4,0,4,4,0,0,0,4,0,4,4,4,4,4,0,0,0,9,4,4,4,0,0,0,4,4,4,0.3666666666666667,Anomalous_4
0,9,0,0,9,4,4,4,0,0,0,14,9,4,9,4,4,0,4,4,4,0,14,4,4,4,4,4,4,0.2564102564102564,Anomalous_40
9,4,4,0,14,4,9,4,0,0,0,9,4,4,9,4,4,0,9,0,14,4,19,0,0,0,14,4,0,0.25,Anomalous_41
4,0,4,0,4,0,0,4,0,9,0,0,9,0,9,0,0,0,0,0,9,0,0,0,4,4,0,0,9,0.6,Anomalous_42
4,4,0,9,4,24,4,0,0,4,0,4,4,4,9,4,4,0,0,0,4,4,4,0,0,0,4,4,4,0.32432432432432434,Anomalous_43
4,14,4,0,0,4,9,0,0,4,0,0,4,4,4,4,4,0,4,0,0,9,9,0,4,0,9,4,4,0.2941176470588235,Anomalous_44
4,4,4,0,9,4,0,4,0,0,0,14,4,14,9,4,4,4,4,4,4,4,4,0,4,0,4,4,4,0.26315789473684215,Anomalous_45
4,4,0,9,0,0,4,4,0,4,0,4,4,9,4,4,9,0,4,0,0,9,9,0,0,0,9,9,4,0.2857142857142857,Anomalous_46
9,0,4,0,4,4,9,4,0,4,0,9,4,4,4,9,14,0,4,0,0,0,4,0,4,0,4,4,4,0.2857142857142857,Anomalous_47
0,9,4,0,4,4,9,4,0,4,0,4,4,4,0,4,4,0,0,0,4,9,0,0,0,0,4,0,4,0.4571428571428572,Anomalous_48
4,0,0,0,0,4,0,4,0,0,0,0,0,4,9,4,4,0,19,0,4,0,4,9,0,0,4,4,9,0.5238095238095238,Anomalous_49
4,14,0,0,9,4,0,4,0,14,0,4,4,9,9,4,4,4,0,4,4,4,0,4,4,4,0,4,9,0.275,Anomalous_5
4,9,4,0,4,4,4,0,0,4,0,4,9,9,9,4,4,4,0,0,9,4,4,0,0,4,4,0,4,0.24242424242424243,Anomalous_50
0,4,4,0,4,4,9,9,0,4,0,4,4,0,4,9,0,0,4,0,4,4,0,0,4,0,4,9,4,0.3529411764705882,Anomalous_51
4,4,0,0,9,4,4,4,0,4,0,4,4,4,0,4,4,0,0,0,4,4,4,0,0,0,4,4,4,0.4571428571428572,Anomalous_52
9,0,4,0,4,0,0,4,0,0,0,4,0,0,4,9,0,0,4,0,0,0,0,0,4,0,0,0,4,0.6666666666666667,Anomalous_53
4,4,0,4,4,4,4,9,0,24,0,4,4,9,4,4,0,4,0,0,4,4,9,0,4,0,9,0,4,0.28205128205128205,Anomalous_54
4,4,4,0,4,9,4,4,0,4,0,4,4,0,9,0,0,0,9,0,0,4,0,0,0,9,4,0,4,0.4285714285714286,Anomalous_55
4,9,0,0,0,4,4,0,4,0,0,4,0,4,0,4,4,0,0,0,4,9,4,0,4,4,4,4,14,0.41666666666666663,Anomalous_56
4,14,0,0,9,9,4,9,9,4,0,4,4,0,0,9,0,4,4,4,0,4,0,0,9,0,0,9,4,0.37209302325581395,Anomalous_57
9,0,4,4,9,4,14,9,0,4,0,4,19,4,0,4,4,4,4,0,4,0,4,9,0,0,4,4,4,0.23076923076923073,Anomalous_58
4,14,9,0,0,4,4,0,0,4,0,4,4,4,4,9,4,4,4,4,0,4,0,4,4,4,4,0,4,0.32432432432432434,Anomalous_59
4,4,0,0,0,0,4,9,0,14,0,4,4,0,0,0,0,0,0,9,0,4,14,0,0,0,9,9,4,0.5,Anomalous_6
4,4,4,0,4,0,4,4,0,4,0,4,4,0,14,0,0,0,4,0,9,4,9,0,4,0,0,0,4,0.375,Anomalous_60
4,4,0,0,4,0,4,4,0,4,4,9,4,4,14,4,4,0,4,0,14,4,4,4,4,0,4,4,4,0.2702702702702703,Anomalous_61
4,4,4,0,9,9,4,4,9,4,0,4,4,0,0,4,4,4,4,4,0,4,4,0,0,9,0,9,4,0.29729729729729726,Anomalous_62
9,0,0,0,0,4,4,9,0,0,0,4,14,4,14,4,4,0,0,4,4,0,4,0,0,4,4,4,4,0.34285714285714286,Anomalous_63
4,9,0,0,0,4,4,0,4,0,0,4,0,4,0,4,4,0,0,0,4,9,4,0,4,4,4,4,14,0.41666666666666663,Anomalous_64
4,4,4,0,4,0,4,4,14,4,4,4,4,0,0,9,0,0,0,0,0,19,9,0,4,0,9,0,9,0.40909090909090906,Anomalous_65
0,9,9,0,0,4,9,9,0,4,0,0,4,4,4,0,0,0,4,0,4,4,0,0,4,0,4,4,9,0.4,Anomalous_66
4,4,4,0,4,14,4,4,0,4,0,0,9,9,0,0,9,4,4,4,0,4,0,0,0,9,0,0,4,0.42500000000000004,Anomalous_67
14,4,0,4,9,4,4,4,0,4,0,4,4,4,4,4,4,0,4,0,4,4,4,0,4,0,4,4,4,0.13793103448275867,Anomalous_68
0,4,4,0,4,4,0,4,0,9,0,9,9,9,4,0,14,0,0,0,9,0,0,0,4,0,9,9,9,0.38095238095238093,Anomalous_69
4,14,0,0,9,9,4,0,0,4,0,4,4,9,0,9,9,0,0,0,0,4,0,0,9,0,0,9,4,0.368421052631579,Anomalous_7
4,4,0,0,9,9,4,0,0,4,0,0,4,9,14,9,9,0,0,0,0,14,9,9,4,0,9,0,9,0.31818181818181823,Anomalous_70
0,0,4,0,4,4,4,4,0,4,0,4,4,9,0,9,4,0,4,0,14,4,4,0,9,0,9,4,4,0.24242424242424243,Anomalous_71
4,0,9,0,4,4,4,0,0,0,0,9,0,0,4,9,9,0,4,0,9,0,9,0,4,0,9,0,0,0.46153846153846156,Anomalous_72
4,4,4,0,4,0,4,4,14,4,4,4,4,0,0,9,0,0,0,0,0,19,9,0,4,0,9,0,9,0.40909090909090906,Anomalous_73
4,4,0,9,9,4,4,0,0,4,0,0,4,4,9,4,4,4,4,0,4,4,4,0,4,0,4,4,4,0.2941176470588235,Anomalous_74
14,4,9,0,0,9,4,9,0,4,0,4,4,0,4,9,0,4,4,0,0,4,9,0,0,0,9,0,4,0.375,Anomalous_75
0,4,4,0,4,4,0,4,0,9,0,9,9,0,4,9,14,0,0,0,9,0,0,0,4,0,9,9,9,0.38095238095238093,Anomalous_76
14,4,4,0,9,4,9,4,4,4,0,0,4,4,9,14,4,0,9,0,4,0,4,4,4,0,4,4,4,0.16666666666666663,Anomalous_77
0,4,4,0,4,0,4,4,0,4,0,9,4,4,0,4,9,0,0,0,9,4,4,0,0,0,4,9,4,0.36363636363636365,Anomalous_78
0,9,4,4,0,4,0,0,9,0,0,9,0,4,4,4,4,0,4,0,4,0,4,4,4,0,4,4,0,0.4285714285714286,Anomalous_79
4,4,4,0,9,9,4,4,9,4,0,4,4,0,0,4,4,4,4,4,0,4,4,0,0,9,0,9,4,0.29729729729729726,Anomalous_8
0,9,0,0,9,4,9,9,0,4,0,0,4,4,4,0,0,0,4,0,4,4,0,0,4,0,4,4,9,0.4,Anomalous_80
